file,variable,description,units,source,frequency,notes
pm_fixed,commercial_plus_residential,Commercial plus residential land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,commercial_timber,Commercial timber area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,county_area,County area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,crop_land,Agricultural crop land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,drycleaners,Dry cleaner locations,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,education,Educational facility count/area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,ertac_rail_yards,ERTAC rail yard locations,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,extended_idle_locations,Extended idle truck locations,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,exurban_housing,Exurban housing units,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,food._drug._chemical_industrial_ind3,Food/drug/chemical industrial area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,forest_land,Forest land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,gas_production_at_all_wells,Natural gas production at all wells,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,gas_production_at_cbm_wells,Gas production at coalbed methane wells,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,gas_production_at_gas_wells,Gas production at gas wells,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,gas_stations,Gas station count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,golf_courses,Golf course area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,great_lakes_tug_zone_area,Great Lakes tug zone area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,gulf_shipping_lanes,Gulf shipping lane area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,heavy_and_high_tech_industrial_ind1.ind5,Heavy and high-tech industrial area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,heavy_industrial_ind1,Heavy industrial area (r=0.345 with PM2.5),area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,high_intensity_residential,High intensity residential area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,hospital_com6,Hospital count/area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,housing_change,Housing unit change,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,housing,Housing unit count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,industrial_land,Industrial land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,industrial_plus_institutional_plus_hospitals,Industrial/institutional/hospital area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,intercity_bus_terminals,Intercity bus terminal count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,light_and_high_tech_industrial_ind2.ind5,Light and high-tech industrial area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,light_industrial_ind2,Light industrial area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,low_intensity_residential,Low intensity residential area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,marine_ports,Marine port area/count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,med_intensity_residential,Medium intensity residential area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,medical_office_clinic_com7,Medical office/clinic count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,metals_and_minerals_industrial_ind4,Metals and minerals industrial area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,military_airports,Military airport count/area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,mines,Mine locations,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,navigable_waterway_activity,Navigable waterway activity,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,navigable_waterway_miles,Navigable waterway miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,ntad_amtrak_railroad_density,NTAD Amtrak railroad density,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,ntad_class_1_2_3_railroad_density,NTAD Class 1/2/3 railroad density,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,ntad_commuter_railroad_density,NTAD commuter railroad density,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,ntad_total_railroad_density,NTAD total railroad density,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,off.network_long.haul_trucks,Off-network long-haul truck activity (r=0.340 with PM2.5),area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,off.network_short.haul_trucks,Off-network short-haul truck activity,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,offshore_shipping_area,Offshore shipping area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,offshore_shipping_nei2011_nox,Offshore shipping NOx emissions (NEI 2011),area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,oil_and_gas_wells,Oil and gas well count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,oil_production_at_all_wells,Oil production at all wells,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,oil_production_at_gas_wells,Oil production at gas wells,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,oil_production_at_oil_wells,Oil production at oil wells,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,open_space,Open space area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,orchards_vineyards,Orchard and vineyard area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,pasture_land,Pasture land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,personal_repair_com3,Personal repair services,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,port_areas,Port area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,ports_nei2011_nox,Port NOx emissions (NEI 2011),area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,professional_technical_com4_plus_general_government_gov1,Professional/technical/government area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,quarries,Quarry locations,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,refineries_and_tank_farms_and_gas_stations,Refineries/tank farms/gas stations,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,refineries_and_tank_farms,Refinery and tank farm locations,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,residential_heating_coal,Residential coal heating,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,residential_heating_distillate_oil,Residential distillate oil heating,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,residential_heating_lp_gas,Residential LP gas heating,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,residential_heating_natural_gas,Residential natural gas heating,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,residential_heating_wood,Residential wood heating,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,residential_high_density,High density residential area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,residential.commercial.industrial.institutional.government,Combined developed land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,retail_trade_com1_plus_personal_repair_com3,Retail trade plus personal repair,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,retail_trade_com1,Retail trade area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_housing,Rural housing units,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_land_area,Rural land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_population,Rural population count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_primary_road_miles,Rural primary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,rural_secondary_road_miles,Rural secondary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,shipping_lanes,Shipping lane area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,single_family_residential,Single family residential area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,spud_count,Well spud count (new wells drilled),area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,strip_mines_quarries,Strip mine and quarry area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,suburban_housing,Suburban housing units,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,total_agriculture_without_orchards_vineyards,Total agriculture minus orchards/vineyards,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,total_agriculture,Total agricultural land area,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,total_railroad_miles,Total railroad miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,total_road_miles,Total road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,transit_bus_terminals,Transit bus terminal count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_housing,Urban housing units,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_population,Urban population count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_primary_plus_rural_primary,Urban plus rural primary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_primary_road_miles,Urban primary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,urban_secondary_road_miles,Urban secondary road miles,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,wastewater_treatment_facilities,Wastewater treatment facility count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,well_count_all_wells,Total well count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,well_count_cbm_wells,Coalbed methane well count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,well_count_gas_wells,Gas well count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,well_count_oil_wells,Oil well count,area/count/activity units,EPA SMOKE surrogates,static,EPA SMOKE emission surrogate
pm_fixed,epa.sum,Sum of EPA emission surrogates,composite,EPA SMOKE surrogates,static,Aggregated emission indicator
pm_fixed,airport_areas_var2,Airport area within buffer (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,airport_points_var2,Airport point count within buffer (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,class_1_railroad_miles_var2,Class 1 railroad miles within buffer (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,class_2_and_3_railroad_miles_var2,Class 2 and 3 railroad miles within buffer (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_land_var2,Commercial land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_plus_industrial_plus_institutional_var2,Commercial/industrial/institutional land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_plus_industrial_var2,Commercial plus industrial land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_plus_institutional_land_var2,Commercial plus institutional land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_plus_residential_var2,Commercial plus residential land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,commercial_timber_var2,Commercial timber area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,county_area_var2,County area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,crop_land_var2,Agricultural crop land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,drycleaners_var2,Dry cleaner locations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,education_var2,Educational facility count/area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,ertac_rail_yards_var2,ERTAC rail yard locations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,extended_idle_locations_var2,Extended idle truck locations (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,exurban_housing_var2,Exurban housing units (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,food._drug._chemical_industrial_ind3_var2,Food/drug/chemical industrial area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,forest_land_var2,Forest land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gas_production_at_all_wells_var2,Natural gas production at all wells (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gas_production_at_cbm_wells_var2,Gas production at coalbed methane wells (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gas_production_at_gas_wells_var2,Gas production at gas wells (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gas_stations_var2,Gas station count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,golf_courses_var2,Golf course area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,great_lakes_tug_zone_area_var2,Great Lakes tug zone area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,gulf_shipping_lanes_var2,Gulf shipping lane area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,heavy_and_high_tech_industrial_ind1.ind5_var2,Heavy and high-tech industrial area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,heavy_industrial_ind1_var2,Heavy industrial area (r=0.345 with PM2.5) (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,high_intensity_residential_var2,High intensity residential area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,hospital_com6_var2,Hospital count/area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,housing_change_var2,Housing unit change (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,housing_var2,Housing unit count (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
pm_fixed,industrial_land_var2,Industrial land area (spatial variance),area/count/activity units,EPA SMOKE surrogates,static,Variance at alternative spatial scale
